Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
 1/ username- 1 192.168.190.6 TestingWorld  2017-08-27T11:34:16+05,1,12090,12090,12090,0.00,100.000%,.08271,0.18,0.00,2216.0
 1/ username- 2 192.168.190.6 TestingWorld  2017-08-27T11:34:16+05,1,2269,2269,2269,0.00,100.000%,.44072,0.87,0.00,2020.0
34 / username-2 192.168.190.6 TestingWorld  2017-08-27T11:34:16+05,1,0,0,0,0.00,100.000%,.00000,0.00,0.00,2020.0
34 / username-1 192.168.190.6 TestingWorld  2017-08-27T11:34:16+05,1,0,0,0,0.00,100.000%,.00000,0.00,0.00,2020.0
 1/ username- 3 192.168.190.6 TestingWorld  2017-08-27T11:34:23+05,1,1,1,1,0.00,100.000%,1000.00000,1972.66,0.00,2020.0
34 / username-3 192.168.190.6 TestingWorld  2017-08-27T11:34:23+05,1,0,0,0,0.00,100.000%,.00000,0.00,0.00,2020.0
http://www.vedamtech.com/index.html,6,9516,4317,12154,3625.80,100.000%,.49366,0.78,0.00,1613.0
 1/ username- 1 192.168.190.6 TestingWorld  2017-08-27T11:31:10+05,1,12174,12174,12174,0.00,100.000%,.08214,0.18,0.00,2216.0
 1/ username- 2 192.168.190.6 TestingWorld  2017-08-27T11:31:10+05,1,2350,2350,2350,0.00,100.000%,.42553,0.84,0.00,2020.0
34 / username-1 192.168.190.6 TestingWorld  2017-08-27T11:31:10+05,1,0,0,0,0.00,100.000%,.00000,0.00,0.00,2020.0
34 / username-2 192.168.190.6 TestingWorld  2017-08-27T11:31:10+05,1,1,1,1,0.00,100.000%,1000.00000,1972.66,0.00,2020.0
 1/ username- 3 192.168.190.6 TestingWorld  2017-08-27T11:31:17+05,1,2,2,2,0.00,100.000%,500.00000,986.33,0.00,2020.0
34 / username-3 192.168.190.6 TestingWorld  2017-08-27T11:31:17+05,1,3,3,3,0.00,100.000%,333.33333,657.55,0.00,2020.0
TOTAL,18,4777,0,12174,5356.79,100.000%,.73816,1.37,0.00,1906.1
